entity_type,entity_id,change_type,metric_trigger,before_value,after_value,explanation
Template — Content,TPL-7FAC26FE,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S4 (paid) | Goal: Increase gamification engagement • deepening engagement & retention | Theme/Hook: Loss Avoidance/Streak Reminder. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-BD44689A,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S4 (paid) | Goal: Increase gamification engagement • deepening engagement & retention | Theme/Hook: Loss Avoidance/Log → Feedback → Adjust Loop. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-224C84DD,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S4 (paid) | Goal: Increase gamification engagement • deepening engagement & retention | Theme/Hook: Loss Avoidance/Missed Goal Alert. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-5DA6F9EE,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S4 (paid) | Goal: Increase gamification engagement • deepening engagement & retention | Theme/Hook: Loss Avoidance/Loss Avoidance. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-E75F0196,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S4 (paid) | Goal: Increase gamification engagement • deepening engagement & retention | Theme/Hook: Loss Avoidance/Warm Accountability. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-19FF4D98,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S4 (churned) | Goal: Increase gamification engagement • re-engagement & recovering lost habits | Theme/Hook: Loss Avoidance/Streak reminder. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-1F398349,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S4 (churned) | Goal: Increase gamification engagement • re-engagement & recovering lost habits | Theme/Hook: Loss Avoidance/Missed goal alert. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-EC70917F,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S4 (churned) | Goal: Increase gamification engagement • re-engagement & recovering lost habits | Theme/Hook: Loss Avoidance/Log → feedback → adjust loop. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-DF786926,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S4 (churned) | Goal: Increase gamification engagement • re-engagement & recovering lost habits | Theme/Hook: Loss Avoidance/Warm accountability. No experiment exposure yet — kept active for future A/B testing.
Template — Content,TPL-9CBED3BA,Kept — Untested (Exploration),No experiment data,Selection weight: 1.0  |  Status: Active,Selection weight: 1.0  |  Status: Active (exploration pool),Segment S4 (churned) | Goal: Increase gamification engagement • re-engagement & recovering lost habits | Theme/Hook: Loss Avoidance/Streak reminders. No experiment exposure yet — kept active for future A/B testing.
