entity_type,entity_id,change_type,metric_trigger,before_value,after_value,explanation
Template,TPL-CC906E7D,Promotion,"CTR: 18.0%, ENG: 45.0%",Weight: 1x,Weight: 3x,Template exceeded top-tier thresholds. Oversampled mathematically to scale the winning psychological hook across the segment.
Template,TPL-4A53BADC,Suppression,"CTR: 4.0%, ENG: 15.0%",Weight: 1x (Active),Weight: 0x (Inactive),Template failed to meet minimum engagement thresholds. Suppressed to protect daily active minutes and avoid user fatigue.
Template,TPL-B4D5946E,Suppression,"CTR: 6.0%, ENG: 15.0%",Weight: 1x (Active),Weight: 0x (Inactive),Template failed to meet minimum engagement thresholds. Suppressed to protect daily active minutes and avoid user fatigue.
Segment Timing,S1,Window Shift,Lowest BIC Score (K=3),"['afternoon', 'evening']","['evening', 'night', 'late_afternoon']",GMM algorithm detected unique activity clusters for this segment. Adjusted sending windows to align with localized biological/habitual prime times.
Segment Timing,S2,Window Shift,Lowest BIC Score (K=3),"['afternoon', 'evening']","['mid_morning', 'evening', 'night']",GMM algorithm detected unique activity clusters for this segment. Adjusted sending windows to align with localized biological/habitual prime times.
Segment Timing,S3,Window Shift,Lowest BIC Score (K=1),"['afternoon', 'evening']",['late_afternoon'],GMM algorithm detected unique activity clusters for this segment. Adjusted sending windows to align with localized biological/habitual prime times.
Segment Timing,S4,Window Shift,Lowest BIC Score (K=2),"['afternoon', 'evening']","['early_morning', 'evening']",GMM algorithm detected unique activity clusters for this segment. Adjusted sending windows to align with localized biological/habitual prime times.
Segment Timing,S5,Window Shift,Lowest BIC Score (K=3),"['afternoon', 'evening']","['early_morning', 'afternoon', 'evening']",GMM algorithm detected unique activity clusters for this segment. Adjusted sending windows to align with localized biological/habitual prime times.
Segment Timing,S6,Window Shift,Lowest BIC Score (K=3),"['afternoon', 'evening']","['mid_morning', 'evening', 'late_afternoon']",GMM algorithm detected unique activity clusters for this segment. Adjusted sending windows to align with localized biological/habitual prime times.
Segment Timing,S7,Window Shift,Lowest BIC Score (K=2),"['afternoon', 'evening']","['mid_morning', 'night']",GMM algorithm detected unique activity clusters for this segment. Adjusted sending windows to align with localized biological/habitual prime times.
Segment Timing,S8,Window Shift,Lowest BIC Score (K=1),"['afternoon', 'evening']",['night'],GMM algorithm detected unique activity clusters for this segment. Adjusted sending windows to align with localized biological/habitual prime times.
Segment Timing,S9,Window Shift,Lowest BIC Score (K=1),"['afternoon', 'evening']",['evening'],GMM algorithm detected unique activity clusters for this segment. Adjusted sending windows to align with localized biological/habitual prime times.
