template_id,segment_id,lifecycle_stage,goal,theme,tone_preferences,hook_used,feature_reference,content_english,content_hindi,ctr_percent,engagement_percent,performance_class,performance_tag,is_active,weight_multiplier
TPL-7FAC26FE,S4,paid,Increase gamification engagement • deepening engagement & retention,Loss Avoidance,"Body-neutral, Warm accountability",Streak Reminder,Streaks feature,You're missing a day! Get back on track with our daily habits to boost your engagement.,आपकी दिनचर्या में एक दिन गायब है! अपने दैनिक आदतों को फिर से शुरू करें और आपकी भागीदारी को बढ़ाएं.,,,UNTESTED,No Data Yet,True,1.0
TPL-BD44689A,S4,paid,Increase gamification engagement • deepening engagement & retention,Loss Avoidance,"Body-neutral, Warm accountability",Log → Feedback → Adjust Loop,Habit tracking feature,See how you're doing! Check your progress and adjust your habits to stay on track.,आपकी प्रगति देखें! अपने आदतों को समायोजित करें और अपनी भागीदारी को बनाए रखें।,,,UNTESTED,No Data Yet,True,1.0
TPL-224C84DD,S4,paid,Increase gamification engagement • deepening engagement & retention,Loss Avoidance,"Body-neutral, Warm accountability",Missed Goal Alert,Goal setting feature,"You missed your daily goal! Don't worry, you can get back on track tomorrow. Keep pushing!","आपकी दैनिक लक्ष्य पूरा नहीं हुआ! चिंता न करें, कल से शुरू करें और आगे बढ़ें।",,,UNTESTED,No Data Yet,True,1.0
TPL-5DA6F9EE,S4,paid,Increase gamification engagement • deepening engagement & retention,Loss Avoidance,"Body-neutral, Warm accountability",Loss Avoidance,Reward system feature,Don't let a missed day turn into a lost streak! Earn rewards for consistent progress.,एक गायब दिन से हार न मानें! निरंतर प्रगति के लिए पुरस्कार प्राप्त करें।,,,UNTESTED,No Data Yet,True,1.0
TPL-E75F0196,S4,paid,Increase gamification engagement • deepening engagement & retention,Loss Avoidance,"Body-neutral, Warm accountability",Warm Accountability,Community feature,Stay accountable with our community of like-minded individuals. Share your progress and get support.,अपने समूह में खुद को जवाबदेह रखें! अपनी प्रगति साझा करें और समर्थन प्राप्त करें।,,,UNTESTED,No Data Yet,True,1.0
TPL-19FF4D98,S4,churned,Increase gamification engagement • re-engagement & recovering lost habits,Loss Avoidance,"Body-neutral, Warm accountability",Streak reminder,Streaks and progress tracking,"Don't let your streak slip away! You're close to reaching your goal, but you need to get back on track. Tap the link to review your progress and adjust your habits.","अपनी ट्रैक में से निकलने का खतरा है! आप अपने लक्ष्य तक पहुंचने के लिए बहुत करीब हैं, लेकिन आपको फिर से अपने आदतों पर ध्यान देना होगा। लिंक पर टैप करके अपनी प्रगति की समीक्षा करें और अपने आदतों को संशोधित करें।",,,UNTESTED,No Data Yet,True,1.0
TPL-1F398349,S4,churned,Increase gamification engagement • re-engagement & recovering lost habits,Loss Avoidance,"Body-neutral, Warm accountability",Missed goal alert,Goal setting and tracking,"You missed your goal! Don't worry, it's not the end. Review what went wrong and adjust your strategy to get back on track. Tap the link to view your goals and progress.","आपका लक्ष्य पूरा नहीं हो सका। चिंता न करें, यह अंत नहीं है। अपने रणनीति में क्या गलत हुआ, इस पर समीक्षा करें और फिर से ट्रैक पर वापस आ जाएं। लिंक पर टैप करके अपने लक्ष्यों और प्रगति को देखें।",,,UNTESTED,No Data Yet,True,1.0
TPL-EC70917F,S4,churned,Increase gamification engagement • re-engagement & recovering lost habits,Loss Avoidance,"Body-neutral, Warm accountability",Log → feedback → adjust loop,Habit tracking and analysis,Take a closer look at your habits. What's working? What's not? Adjust your approach to stay on track. Tap the link to view your habit tracker and get personalized insights.,आपकी आदतों को बेहतर ढंग से समझने के लिए एक नज़दीकी देखें। क्या कुछ काम कर रहा है? क्या कुछ नहीं? अपनी रणनीति को समायोजित करें ताकि आप ट्रैक पर रह सकें। लिंक पर टैप करके अपने आदतों के ट्रैकर को देखें और व्यक्तिगत सलाह प्राप्त करें।,,,UNTESTED,No Data Yet,True,1.0
TPL-DF786926,S4,churned,Increase gamification engagement • re-engagement & recovering lost habits,Loss Avoidance,"Body-neutral, Warm accountability",Warm accountability,Community and social sharing,You're part of a community that's here to support you. Share your progress with friends or join a group to stay motivated. Tap the link to connect with others who are working towards their goals.,आप एक समुदाय का हिस्सा हैं जो आपकी मदद करने के लिए यहां है। अपनी प्रगति को दोस्तों से साझा करें या एक समूह में शामिल हों ताकि आप प्रेरित रहें। लिंक पर टैप करके अन्य लोगों के साथ जुड़ जो अपने लक्ष्यों की ओर काम कर रहे हैं।,,,UNTESTED,No Data Yet,True,1.0
TPL-9CBED3BA,S4,churned,Increase gamification engagement • re-engagement & recovering lost habits,Loss Avoidance,"Body-neutral, Warm accountability",Streak reminders,Streaks and progress tracking,Don't miss a single day! Stay on track with daily reminders. Tap the link to view your streaks and get motivated.,एक दिन भी नहीं छोड़एं! दैनिक संकेतों के साथ ट्रैक पर रहें। लिंक पर टैप करके अपने ट्रैक और प्रेरित होने के लिए देखें।,,,UNTESTED,No Data Yet,True,1.0
TPL-C4885C56,S4,trial,Increase gamification engagement • rapid adoption & habit formation,Loss Avoidance,"Body-neutral, Warm accountability",Streak Reminder,Daily Habit Tracking,You're on a roll! Keep your streak going with our daily habit tracker.,आपकी स्ट्रीक को बनाए रखने के लिए हमारे दैनिक आदत ट्रैकर का उपयोग करें.,,,UNTESTED,No Data Yet,True,1.0
TPL-1ADEF626,S4,trial,Increase gamification engagement • rapid adoption & habit formation,Loss Avoidance,"Body-neutral, Warm accountability",Missed Goal Alert,Gamification Leaderboard,Don't let your progress slip away! Catch up on your missed goals and get back on track.,अपने प्रगति को फिर से शुरू करें! अपने मिस हुए लक्ष्यों पर ध्यान दें और ट्रैक करें।,,,UNTESTED,No Data Yet,True,1.0
TPL-94B611B1,S4,trial,Increase gamification engagement • rapid adoption & habit formation,Loss Avoidance,"Body-neutral, Warm accountability",Log → Feedback → Adjust Loop,Habit Analysis,How's your habit tracking going? Get insights and adjust your strategy for better results.,आपकी आदत ट्रैकिंग कैसे जा रही है? विश्लेषण और अपनी रणनीति को बेहतर परिणाम देने के लिए संशोधित करें।,,,UNTESTED,No Data Yet,True,1.0
TPL-2BC10C9B,S4,trial,Increase gamification engagement • rapid adoption & habit formation,Loss Avoidance,"Body-neutral, Warm accountability",Warm Accountability,Streak Rewards,Stay motivated with our rewards system! Earn points and badges for your daily habits.,आपकी आदतों के लिए प्रोत्साहन प्राप्त करें! दैनिक आदतों के लिए बैज और अंक प्राप्त करें।,,,UNTESTED,No Data Yet,True,1.0
TPL-7FDAF9FC,S4,trial,Increase gamification engagement • rapid adoption & habit formation,Loss Avoidance,"Body-neutral, Warm accountability",Rapid Adoption,Onboarding Guide,Get started with our easy-onboarding guide! Learn how to track your habits and achieve your goals.,शुरू होने के लिए हमारी आसान ऑनबोर्डिंग गाइड में सीखें! अपनी आदतों को ट्रैक करें और अपने लक्ष्यों को प्राप्त करें।,,,UNTESTED,No Data Yet,True,1.0
TPL-379FD85B,S4,inactive,Increase gamification engagement • compelling return value proposition,Loss Avoidance,"Body-neutral, Warm accountability",Streak reminder,Log streaks and view progress,Don't let your streak slip away! Check your log to see how you can get back on track.,अपनी स्ट्रीक को फिर से शुरू करें! अपना लॉग देखें और देखें कि आप कैसे वापस ट्रैक पर आ सकते हैं।,,,UNTESTED,No Data Yet,True,1.0
TPL-9FE4679E,S4,inactive,Increase gamification engagement • compelling return value proposition,Loss Avoidance,"Body-neutral, Warm accountability",Missed goal alert,Get notified when you miss a goal,"You missed your daily goal! Don't worry, you can adjust and get back on track. Tap to view log.","आप दैनिक लक्ष्य को पूरा नहीं कर सके! चिंता न करें, आप इसे फिर से शुरू कर सकते हैं। टैप करें और अपना लॉग देखें।",,,UNTESTED,No Data Yet,True,1.0
