template_id,segment_id,lifecycle_stage,goal,theme,hook_used,feature_reference,content_english,content_hindi
TPL-5D230933,S1,trial,Motivation → session frequency • rapid adoption & habit formation,Core Drive 2: Accomplishment,Social Proof,Roleplay,[S1 - TRIAL] Mock message 1 focusing on Core Drive 2.,[S1 - TRIAL] डमी संदेश 1 (Core Drive 2).
TPL-80FB4512,S1,trial,Motivation → session frequency • rapid adoption & habit formation,Core Drive 2: Accomplishment,FOMO,Leaderboard,[S1 - TRIAL] Mock message 2 focusing on Core Drive 2.,[S1 - TRIAL] डमी संदेश 2 (Core Drive 2).
TPL-795B3F83,S1,trial,Motivation → session frequency • rapid adoption & habit formation,Core Drive 2: Accomplishment,Loss Aversion,Leaderboard,[S1 - TRIAL] Mock message 3 focusing on Core Drive 2.,[S1 - TRIAL] डमी संदेश 3 (Core Drive 2).
TPL-4577BFB2,S1,trial,Motivation → session frequency • rapid adoption & habit formation,Core Drive 2: Accomplishment,Mastery,Roleplay,[S1 - TRIAL] Mock message 4 focusing on Core Drive 2.,[S1 - TRIAL] डमी संदेश 4 (Core Drive 2).
TPL-C6DDF0F0,S1,trial,Motivation → session frequency • rapid adoption & habit formation,Core Drive 2: Accomplishment,Status,Progress Dashboard,[S1 - TRIAL] Mock message 5 focusing on Core Drive 2.,[S1 - TRIAL] डमी संदेश 5 (Core Drive 2).
TPL-868E86A4,S1,paid,Motivation → session frequency • deepening engagement & retention,Core Drive 2: Accomplishment,Urgency,XP Boost,[S1 - PAID] Mock message 1 focusing on Core Drive 2.,[S1 - PAID] डमी संदेश 1 (Core Drive 2).
TPL-49415A25,S1,paid,Motivation → session frequency • deepening engagement & retention,Core Drive 2: Accomplishment,Social Proof,Leaderboard,[S1 - PAID] Mock message 2 focusing on Core Drive 2.,[S1 - PAID] डमी संदेश 2 (Core Drive 2).
TPL-A8206D3B,S1,paid,Motivation → session frequency • deepening engagement & retention,Core Drive 2: Accomplishment,Loss Aversion,Daily Streak,[S1 - PAID] Mock message 3 focusing on Core Drive 2.,[S1 - PAID] डमी संदेश 3 (Core Drive 2).
TPL-ADF70CF7,S1,paid,Motivation → session frequency • deepening engagement & retention,Core Drive 2: Accomplishment,Mastery,Roleplay,[S1 - PAID] Mock message 4 focusing on Core Drive 2.,[S1 - PAID] डमी संदेश 4 (Core Drive 2).
TPL-5A57A90D,S1,paid,Motivation → session frequency • deepening engagement & retention,Core Drive 2: Accomplishment,Urgency,Daily Streak,[S1 - PAID] Mock message 5 focusing on Core Drive 2.,[S1 - PAID] डमी संदेश 5 (Core Drive 2).
TPL-E23489F7,S1,churned,Motivation → session frequency • re-engagement & recovering lost habits,Core Drive 2: Accomplishment,Urgency,XP Boost,[S1 - CHURNED] Mock message 1 focusing on Core Drive 2.,[S1 - CHURNED] डमी संदेश 1 (Core Drive 2).
TPL-CB852683,S1,churned,Motivation → session frequency • re-engagement & recovering lost habits,Core Drive 2: Accomplishment,Status,Progress Dashboard,[S1 - CHURNED] Mock message 2 focusing on Core Drive 2.,[S1 - CHURNED] डमी संदेश 2 (Core Drive 2).
TPL-31216338,S1,churned,Motivation → session frequency • re-engagement & recovering lost habits,Core Drive 2: Accomplishment,FOMO,Leaderboard,[S1 - CHURNED] Mock message 3 focusing on Core Drive 2.,[S1 - CHURNED] डमी संदेश 3 (Core Drive 2).
TPL-F8A65B6F,S1,churned,Motivation → session frequency • re-engagement & recovering lost habits,Core Drive 2: Accomplishment,Mastery,Daily Streak,[S1 - CHURNED] Mock message 4 focusing on Core Drive 2.,[S1 - CHURNED] डमी संदेश 4 (Core Drive 2).
TPL-E731F895,S1,churned,Motivation → session frequency • re-engagement & recovering lost habits,Core Drive 2: Accomplishment,FOMO,AI Tutor,[S1 - CHURNED] Mock message 5 focusing on Core Drive 2.,[S1 - CHURNED] डमी संदेश 5 (Core Drive 2).
