template_id,segment_id,lifecycle_stage,goal,theme,hook_used,feature_reference,content_english,content_hindi,ctr_percent,engagement_percent,performance_class,performance_tag,is_active,weight_multiplier,selection_weight
TPL-CC906E7D,S1,trial,Habit formation → retention • rapid adoption & habit formation,Core Drive 2: Accomplishment,Social Proof,Daily Streak,You're on a roll! You've reached 5 days of daily speaking practice. Keep it up!,आपकी प्रगति देखकर खुश हैं! आप 5 दिनों से दैनिक बातचीत अभ्यास कर रहे हैं। इसे जारी रखें!,,,UNTESTED,No Data Yet,True,1.0,1.0
TPL-4A53BADC,S1,trial,Habit formation → retention • rapid adoption & habit formation,Core Drive 2: Accomplishment,Personalization,Personalized Feedback,Your speaking skills are improving! Get personalized feedback on your progress.,आपकी बातचीत कौशल में सुधार हो रहा है! अपनी प्रगति पर व्यक्तिगत फीडबैक प्राप्त करें.,,,UNTESTED,No Data Yet,True,1.0,1.0
TPL-ED34FF29,S1,trial,Habit formation → retention • rapid adoption & habit formation,Core Drive 2: Accomplishment,Scarcity,Limited Time Offer,Don't miss out! Our 7-day trial offer ends soon. Continue your daily speaking practice to get the most out of it.,नहीं छोड़ दें! हमारा 7 दिनों का प्रयोग कार्यकाल जल्दी से समाप्त हो रहा है। अपने दैनिक बातचीत अभ्यास को जारी रखें ताकि आप इसका पूरा लाभ उठा सकें.,,,UNTESTED,No Data Yet,True,1.0,1.0
TPL-5CA99153,S1,trial,Habit formation → retention • rapid adoption & habit formation,Core Drive 2: Accomplishment,Curiosity,New Content Added,New speaking lessons added! Explore our latest content and take your practice to the next level.,नया सामग्री जोड़ा गया है! हमारी नवीनतम सामग्री का अन्वेषण करें और अपने अभ्यास को अगले स्तर तक ले जाएं.,,,UNTESTED,No Data Yet,True,1.0,1.0
TPL-FA4A92E2,S1,trial,Habit formation → retention • rapid adoption & habit formation,Core Drive 2: Accomplishment,Tangible Reward,Badges and Rewards,Earn your first badge! Complete your daily speaking practice to unlock exclusive rewards.,पहला बैज प्राप्त करें! अपने दैनिक बातचीत अभ्यास को पूरा करें ताकि आप विशेष पुरस्कारों को स्वीकार कर सकें.,,,UNTESTED,No Data Yet,True,1.0,1.0
TPL-B4D5946E,S1,paid,Habit formation → retention • deepening engagement & retention,Core Drive 2: Accomplishment,Sense of Accomplishment,Daily Streak,You've reached a new milestone! Your daily streak is now 14 days straight!,आपने एक नया मील का पत्थर पार किया है! आपकी दैनिक दिनचर्या अब 14 दिनों से लगी हुई है!,,,UNTESTED,No Data Yet,True,1.0,1.0
TPL-ADF6CA34,S1,paid,Habit formation → retention • deepening engagement & retention,Core Drive 2: Accomplishment,Social Proof,Leaderboard,You're one of the top 10 users in the world! Keep up the great work!,आप दुनिया के शीर्ष 10 उपयोगकर्ताओं में से एक हैं! आपकी प्रगति को जारी रखें!,,,UNTESTED,No Data Yet,True,1.0,1.0
TPL-852F9FFE,S1,paid,Habit formation → retention • deepening engagement & retention,Core Drive 2: Accomplishment,Personalized Progress,Personalized Progress Chart,Your progress chart is looking great! You've improved your speaking skills by 30% in just 2 weeks.,आपकी प्रगति चार्ट अच्छी दिख रही है! आप सिर्फ 2 सप्ताह में अपने बोलचाल कौशल में 30% सुधार कर चुके हैं!,,,UNTESTED,No Data Yet,True,1.0,1.0
TPL-E7B188CA,S1,paid,Habit formation → retention • deepening engagement & retention,Core Drive 2: Accomplishment,Timely Feedback,Speech Analytics,Get instant feedback on your speech with our latest analytics report. Identify areas for improvement and boost your skills!,आपकी बोलचाल पर तुरंत फीडबैक प्राप्त करें! हमारे नवीनतम विश्लेषण रिपोर्ट में सुधार के क्षेत्रों की पहचान करें और अपने कौशल को बढ़ाएं!,,,UNTESTED,No Data Yet,True,1.0,1.0
TPL-7E54932C,S1,paid,Habit formation → retention • deepening engagement & retention,Core Drive 2: Accomplishment,Exclusive Reward,Badges and Rewards,Earn exclusive badges and rewards for reaching new milestones! Unlock new content and take your English skills to the next level!,नए मील के पत्थर पर प्राप्त करने पर विशेष बैज और पुरस्कार प्राप्त करें! नए सामग्री को खोलें और अपने अंग्रेजी कौशल को अगले स्तर पर ले जाएं!,,,UNTESTED,No Data Yet,True,1.0,1.0
